title,category,address,city,neighborhood,latitude,longitude,rating,reviews_count,phone,permanently_closed,scraped_at
Daulatpur Club,Club,"VGFF+Q4V, Khulna - Jessore - Dhaka Hwy, Khulna, Bangladesh",,,22.8744876,89.5228052,3.5,4.0,,False,2026-01-11T16:16:58.227Z
Club er more,Sports club,"VFQV+VVQ, Poschimpara club er more, Khulna, Bangladesh",,,22.8897191,89.4947426,,,,False,2026-01-11T16:16:58.119Z
JB HomeMade,Cafe,"VG7J+37F, Khulna, Bangladesh",Khulna,Daulatpur,22.862692,89.530682,5.0,10.0,,False,2026-01-11T16:16:59.714Z
jibonMukhi private club LTD,Sports club,"VGC4+RVX, Khulna, Bangladesh",Khulna,Daulatpur,22.8721136,89.5072189,4.8,5.0,+880 1971-484609,False,2026-01-11T16:16:59.382Z
Govt. BL College Debating Club,Club,"VG9H+97J, Khulna, Bangladesh",Khulna,Daulatpur,22.8684702,89.5281324,5.0,1.0,,False,2026-01-11T16:16:59.063Z
বঙ্গপ্রদীপ Legends' Club,Club,"VGX5+34W, KUET Rd, Khulna, Bangladesh",Khulna,Teligati,22.8977283,89.5078329,5.0,2.0,+880 1611-520521,False,2026-01-11T16:17:01.745Z
Rangpur youth club,Sports club,"VFR6+5QV, রংপুর ঠাকুরাণী তলা, ডুমুরিয়া, খুলনা, 9253, Bangladesh",,,22.8904928,89.4619247,4.4,11.0,,False,2026-01-11T16:16:59.317Z
Pradeep tea point,Coffee shop,"Old Satkhira Rd, Bangladesh",,Arongghata,22.8687659,89.4811277,5.0,1.0,,False,2026-01-11T16:17:03.000Z
ফুয়াদ কাফে,Cafe,"Arongghata High School, Satkhira Rd, Khulna, Bangladesh",Khulna,Arongghata,22.8728625,89.499984,4.6,5.0,,False,2026-01-11T16:17:01.310Z
সাধন ষ্টোর,Coffee shop,"VF9J+F9W, Old Satkhira Rd, Bangladesh",,Arongghata,22.8687406,89.480944,4.3,18.0,+880 1907-048443,False,2026-01-11T16:17:01.596Z
Psycology & Geograpy Department,University,"VG8J+H3G, Khulna, Bangladesh",,,22.8664323,89.5302077,5.0,2.0,,False,2026-01-11T16:16:38.124Z
Digholia YMA Club,Club,"VGVC+HQ8, Digholia, Bangladesh",,,22.8939195,89.5219686,5.0,1.0,,False,2026-01-11T16:16:59.249Z
Deana Azizul Memorial Club,Sports club,"Khulna, Bangladesh",Khulna,Daulatpur,22.8600175,89.5141396,4.1,13.0,+880 1905-955609,False,2026-01-11T16:16:57.175Z
yoga foundation world,Foundation,"VG7H+2W7, Khulna 9000, Bangladesh",,,22.8625393,89.5298111,5.0,1.0,,False,2026-01-11T16:17:06.973Z
KUET Cafeteria,Restaurant,"KUET Rd, Khulna 9203, Bangladesh",Khulna,Teligati,22.8981877,89.5030345,4.1,312.0,,False,2026-01-11T16:16:49.990Z
Akhi Vila,Garden,"VG68+7P6, Khulna, Bangladesh",Khulna,Daulatpur,22.860593,89.516632,4.0,1.0,,False,2026-01-11T16:17:07.464Z
Saad Tuba 🏡,Garden,"VG77+6RF, Khulna, Bangladesh",Khulna,Daulatpur,22.8630439,89.5145798,5.0,1.0,,False,2026-01-11T16:17:08.053Z
Golam rahman property,Garden,"VG9C+VCJ Horintana, Khulna, Bangladesh",Khulna,Daulatpur,22.8697026,89.521018,5.0,1.0,,False,2026-01-11T16:17:08.928Z
Ajju Gym,Gym,"VGFF+RPW, Khulna - Jessore - Dhaka Hwy, Khulna, Bangladesh",Khulna,Daulatpur,22.8746074,89.524343,3.5,2.0,,False,2026-01-11T16:17:09.688Z
নাইচ জেন্টস পার্লার,Gym,"VG8G+JC5, Daulatpur, Bangladesh",Daulatpur,Daulatpur,22.8665002,89.5261204,5.0,5.0,+880 1911-295412,False,2026-01-11T16:17:09.742Z
Ansari Foundation,Foundation,"VG4C+55J, Daulatpur, Bangladesh",,,22.8554611,89.5203933,4.2,13.0,,False,2026-01-11T16:17:07.309Z
Young Star Gymnasium,Gym,"VG9G+V9P, Khulna - Jessore - Dhaka Hwy, Khulna, Bangladesh",Khulna,Daulatpur,22.8697219,89.5259545,3.7,15.0,,False,2026-01-11T16:17:09.427Z
কলেজ গেট,Garden,"VG88+574, Khulna, Bangladesh",Khulna,Daulatpur,22.8646725,89.5160845,4.5,4.0,,False,2026-01-11T16:17:08.297Z
জমিদার টি স্টল,Coffee shop,"VF9J+G6M, Bangladesh",,Arongghata,22.8692619,89.4807781,5.0,3.0,,False,2026-01-11T16:17:04.442Z
Talukdar Bari,Apartment building,"VGCR+H8M, Senhati to Miapara Rd, Bangladesh",,,22.8714507,89.5407917,,,,False,2026-01-11T16:17:10.810Z
Aziz vila,Apartment building,"VGHP+7RP, Bangladesh",,,22.8782039,89.537072,,,,False,2026-01-11T16:17:12.003Z
ফরমায়েশ খানা বটতলা,Apartment building,"VGGP+843 ফরমায়েশ খানা, Bangladesh",,,22.8757699,89.535307,,,,False,2026-01-11T16:17:10.488Z
CHIRANJIT HOME 🕉️,Apartment building,"VGJV+9RG, Bangladesh",,,22.8809319,89.5445713,,,+880 1319-771981,False,2026-01-11T16:17:11.973Z
Aniks Home,Apartment building,"VGCR+GQG, Senhati, Miahpara, Bangladesh",,,22.8713069,89.5419592,,,,False,2026-01-11T16:17:12.831Z
গাজী ডিপার্টমেন্টাল ষ্টোর এন্ড জি ক্যাফেটেএরিয়া,Cafe,"বাইপাস সড়ক মোড়, aronghata bypass, Khulna, Bangladesh",Khulna,Arongghata,22.8726585,89.49122,3.1,7.0,+880 1946-294702,False,2026-01-11T16:17:00.339Z
KUET Main Gate Complex,Technical university,"VGX4+5JJ, KUET Campus, Khulna, Bangladesh",Khulna,Teligati,22.8979543,89.5065158,4.7,30.0,,False,2026-01-11T16:16:39.164Z
সৈয়দ বাড়ি,Apartment building,"VGFR+9PF Lichutola, Road, Senhati, Bangladesh",,,22.873556,89.542273,,,,False,2026-01-11T16:17:13.694Z
Flower garden,Park,"73 B.L. College Rd, Khulna 9202, Bangladesh",Khulna,Daulatpur,22.8671623,89.5281595,5.0,2.0,,False,2026-01-11T16:17:08.190Z
Saleha stationery & Gift shop,Gift shop,"Khulna 9220, Bangladesh",Khulna,,22.8902031,89.5436426,,,,False,2026-01-11T16:17:11.666Z
Post Office,Post office,"VGCR+7XX, Bangladesh",,,22.870734,89.5424858,4.3,10.0,,False,2026-01-11T16:17:14.127Z
Gazi Bari,Apartment building,"VGFX+W99, Senhati, Bangladesh",,,22.8747922,89.5484758,,,,False,2026-01-11T16:17:14.507Z
Katha Enterprise,Stationery store,"Bazar, Digholia 9202, Bangladesh",Digholia,,22.8705715,89.5400669,,,+880 1913-726464,False,2026-01-11T16:17:13.244Z
Masum misuk home তৌহিদুল,Apartment building,"VGHW+8CP, Senhati, Bangladesh",,,22.87834,89.546066,5.0,1.0,,False,2026-01-11T16:17:15.550Z
আসলাম হোম অ্যান্ড খামার,Apartment building,"VGGR+3GQ, Khulna, Bangladesh",,,22.8752139,89.5413548,,,,False,2026-01-11T16:17:15.241Z
Naimur's Home,Apartment building,"VGCR+GQG, Senhati, Bangladesh",,,22.8713069,89.5419592,,,,False,2026-01-11T16:17:14.391Z
KUET GYM,Gym,"SWC, KUET Rd, Khulna 9203, Bangladesh",Khulna,Teligati,22.8978438,89.5031312,3.9,7.0,,False,2026-01-11T16:17:09.915Z
Youth Body Builders Club,Gym,"VGM5+JHW, Kadarnath Rd, Khulna, Bangladesh",Khulna,Daulatpur,22.8841027,89.5089398,4.2,19.0,+880 1970-018531,False,2026-01-11T16:17:17.623Z
ক্ষণিক আশ্রয়,Apartment building,"VGFW+QM7, Senhati, Bangladesh",,,22.874549,89.546637,,,,False,2026-01-11T16:17:16.578Z
সমাজকর্ম বিভাগ,Department of Social Services,"VG8H+X82 Govt. Brajalal College, Khulna, Bangladesh",,,22.8673915,89.5282685,5.0,1.0,,False,2026-01-11T16:17:19.165Z
Alljobs - Bangladesh Government & Private job portal by teletalk (Khulna),Government office,"VG6J+WCM Teletalk Khulna Service, Khulna, Bangladesh",,,22.8623322,89.5310511,,,,False,2026-01-11T16:17:18.666Z
MB Tech ( IT Solutions ),Computer support and services,"Senhati Main Road, Senhati 9222, Bangladesh",Senhati,,22.8733995,89.5430149,5.0,4.0,+880 1994-739851,False,2026-01-11T16:17:17.721Z
Trust Take Computer,Computer support and services,"east, 9222, Bangladesh",,,22.8713069,89.5419592,,,+880 1943-753878,False,2026-01-11T16:17:17.840Z
B. L. College Gymesiam,Gym,"VG9J+62G, B.L. College Rd, Khulna, Bangladesh",Khulna,Daulatpur,22.8680687,89.5300715,4.8,13.0,+880 41-762944,False,2026-01-11T16:17:17.158Z
Kotkoti's home,Government office,"VFJG+MGR, Bangladesh",,,22.8817392,89.4762724,,,,False,2026-01-11T16:17:19.609Z
Bondhu Variety Shop,Gift shop,"VGCR+CPQ Bazar, Senhati 9100, Bangladesh",Senhati,,22.8710784,89.5418471,,,+880 1929-622534,False,2026-01-11T16:17:18.591Z
আজাহার নার্সারি।,Garden,"Ajahar Nursery Arongghata, Khulna 9202, Bangladesh",Khulna,Daulatpur,22.8755695,89.5045758,5.0,1.0,+880 1911-886070,False,2026-01-11T16:17:20.143Z
"Government duck farm Khulna, Doulatpur",Government office,"VG6J+W3X, Khulna, Bangladesh",Khulna,Daulatpur,22.8623642,89.5302429,,,+880 1670-702447,False,2026-01-11T16:17:19.559Z
লাবলু'র সখের বাগান,Garden,"VG72+77H, Khulna City Bypass, Khulna, Bangladesh",Khulna,Arongghata,22.8631758,89.5007336,3.8,4.0,+880 1711-787090,False,2026-01-11T16:17:19.285Z
Amir hamja,Apartment building,"VGX4+XJ4, Khulna 9203, Bangladesh",Khulna,Teligati,22.8998622,89.5058862,,,+880 1307-024121,False,2026-01-11T16:17:23.969Z
Gogel Gym,Gym,"VGH4+4P3, Khulna, Bangladesh",Khulna,Arongghata,22.8777604,89.5067882,,,,False,2026-01-11T16:17:20.516Z
FITNESS HUB,Gym,"Dhaka-Khulna Hwy , Old Jessore Road, Khulna, Beside BK Primary School & Visible from Khula-Jashore High-way,, Fulbariget, Khulna, Khulna 9206, Bangladesh",Khulna,Teligati,22.8957454,89.5100889,4.5,17.0,+880 1672-845355,False,2026-01-11T16:17:18.086Z
Boro Bari,Apartment building,"WG69+GWP, Khulna, Bangladesh",,,22.9114547,89.5203097,,,,False,2026-01-11T16:17:25.384Z
Jogipol 7No word Jolil Sorok,Apartment building,"WG54+XR3, Khulna, Bangladesh",,,22.9098782,89.5070573,,,,False,2026-01-11T16:17:25.653Z
Jahan Manjil,Cafeteria,"Mattamdanga, Jahanabad Cant. Khan Jahan Ali Khulna, 9205, Bangladesh",,,22.9301799,89.4938185,3.7,3.0,,False,2026-01-11T16:17:24.628Z
দাউদের মাঠ নদীর পাড়,Garden,"VGV8+PXF, Mirer Danga B.F.I.D.C Rd, Khulna, Bangladesh",Khulna,Mirerdanga,22.8943148,89.51743,4.5,4.0,,False,2026-01-11T16:17:09.684Z
Surmi Vhilla,Apartment building,"WG22+6WH KUET, Khulna, Bangladesh",,,22.9005524,89.5023565,,,,False,2026-01-11T16:17:25.672Z
Commerce Departments,Academic department,"কমার্স বিল্ডিং, B.L. College Rd, Khulna, Bangladesh",Khulna,Daulatpur,22.8669349,89.529232,5.0,2.0,+880 41-762944,False,2026-01-11T16:17:24.187Z
Gazi vila,Apartment building,"WG62+X9R, Hafizia Madrasha Rd, Koiya, Bangladesh",,,22.9124923,89.5008875,,,,False,2026-01-11T16:17:25.789Z
AK Heaven,Apartment building,"WG26+HV2, Khulna, Bangladesh",Khulna,Mirerdanga,22.9013771,89.5121528,,,+880 1796-761445,False,2026-01-11T16:17:26.941Z
Hasan Dewan,Apartment building,"WG43+WGX, Jogipol Rd, Khulna, Bangladesh",,,22.9085021,89.5039212,,,,False,2026-01-11T16:17:26.814Z
ভাই ভাই চটপটি ফুচকা হাউজ,Fast food restaurant,"Fulbari Gate Bus Station, Khulna - Jessore - Dhaka Hwy, Khulna, Bangladesh",Khulna,Mirerdanga,22.8981822,89.5102992,3.0,1.0,+880 1842-211222,False,2026-01-11T16:17:29.047Z
"Department of Architecture, KUET",University,"VGX2+VC6, KUET Rd, Khulna 9203, Bangladesh",,,22.8996583,89.5010119,,,,False,2026-01-11T16:17:28.466Z
Anime Club,Club,"Gilatala Madrasha Rd, Khulna 9205, Bangladesh",Khulna,Gilatala,22.9210021,89.5118984,,,+880 1767-337758,False,2026-01-11T16:17:30.486Z
সেনপাড়া বয়েজ ক্লাব (SBC),Sports club,"VGV7+7JP, Khulna 9202, Bangladesh",,,22.8932069,89.5140659,,,,False,2026-01-11T16:17:29.550Z
সিঙ্গারা ফ্যাক্টরি,Fast food restaurant,"VGX6+F27, N7, Khulna, Bangladesh",Khulna,Mirerdanga,22.8986633,89.5100376,,,+880 1707-073977,False,2026-01-11T16:17:29.611Z
Friends jone,Sports club,"VGW6+G2J, Khulna, Bangladesh",,,22.896331,89.5100288,,,,False,2026-01-11T16:17:30.971Z
PentHouse(Fatema Tower),Apartment building,"WG73+799, Khulna, Bangladesh",Khulna,Gilatala,22.9131517,89.503481,,,+880 1615-438796,False,2026-01-11T16:17:27.803Z
ঘোষগাতী-মহেশ্বরপুর যুব সংঘ,Social club,"Barakpur, Bangladesh",Barakpur,,22.9115462,89.527373,,,+880 1911-155684,False,2026-01-11T16:17:31.223Z
মনোবিজ্ঞান বিভাগ - সরকারি বি.এল. কলেজ,Academic department,"VG8J+J3G, Khulna 9000, Bangladesh",Khulna,Daulatpur,22.8665678,89.5302074,5.0,1.0,+880 41-760779,False,2026-01-11T16:17:27.271Z
SWC Indoor Games Room,Sports club,"VGX3+657 KUET, Khulna 9203, Bangladesh",,,22.8985517,89.5033682,4.5,2.0,,False,2026-01-11T16:17:33.582Z
Gamer,Board game club,"Upzila Animal hospital, Khulna 9220, Bangladesh",Khulna,Debnagar,22.8870867,89.5353202,,,,False,2026-01-11T16:17:32.075Z
JATIYA TARUN SANGHA (Daulatpur-Khulna),Youth club,"VGV5+45F JATIYA TARUN SANGHA, Dighir Poschim par, Khulna 9203, Bangladesh",Khulna,Daulatpur,22.8927811,89.5079404,5.0,5.0,+880 1911-373916,False,2026-01-11T16:17:30.924Z
ছায়ানীড়,Apartment building,"WG43+2X6 Badamtola, Khulna, Bangladesh",,,22.9050498,89.5048895,,,,False,2026-01-11T16:17:35.037Z
Magnolia House,Apartment building,"22.902879720877557, 89.50712295829987, Khulna 9206, Bangladesh",Khulna,Mirerdanga,22.9029416,89.5071004,,,+880 1631-995451,False,2026-01-11T16:17:32.816Z
MD Mamun,Apartment building,"WG43+W95, Jogipol Rd, Khulna, Bangladesh",,,22.9072632,89.5034881,,,,False,2026-01-11T16:17:34.829Z
Julfikar Mollah,Apartment building,"WG73+6FP, Khulna, Bangladesh",,,22.9130998,89.5036928,,,,False,2026-01-11T16:17:35.574Z
খান ম্ন্জিল,Apartment building,"VGXC+HQM, Rd, Barakpur, Bangladesh",,,22.8987664,89.5216706,,,,False,2026-01-11T16:17:35.862Z
Mahua Banglow,Apartment building,"WG49+P52, Khulna, Bangladesh",,,22.9067689,89.5178823,,,,False,2026-01-11T16:17:36.148Z
Anowar house,Apartment building,"VGX7+CFV, Khulna, Bangladesh",,,22.8983096,89.5131566,,,,False,2026-01-11T16:17:34.908Z
Science Building,Academic department,"Science Building, Khulna 9203, Bangladesh",Khulna,Teligati,22.8998094,89.5020328,3.8,4.0,,False,2026-01-11T16:17:35.766Z
"Rokeya Hall Departmental Store, KUET",Fast food restaurant,"WG23+68R, Khulna, Bangladesh",Khulna,Teligati,22.9006152,89.503275,2.5,2.0,,False,2026-01-11T16:17:38.093Z
Home Of Peace,Apartment building,"WG33+63C, Khulna 9203, Bangladesh",Khulna,Teligati,22.9033636,89.5036523,,,+880 1790-040668,False,2026-01-11T16:17:36.734Z
মা মেডিকেল হল,Internet cafe,"WG58+6W3 কেবল ঘাট ্, Digholia, Bangladesh",,,22.9080088,89.5173016,,,,False,2026-01-11T16:17:35.244Z
Modina Hotel,Restaurant,"VGXC+HQM, Rd, Barakpur, Bangladesh",Barakpur,,22.8989686,89.5219429,5.0,1.0,,False,2026-01-11T16:17:40.373Z
Jubayer Monjil,Apartment building,"Fulbarigate Shaeed Minar, Khulna, Bangladesh",,,22.9029524,89.5076636,,,,False,2026-01-11T16:17:35.627Z
Azad stor,Coffee shop,"Hafizia Madrasha Rd, Khulna, Bangladesh",Khulna,Shiromoni,22.9124923,89.5008875,,,,False,2026-01-11T16:17:38.876Z
Employee Club,Club,"WG47+82G, Khulna 9206, Bangladesh",,,22.9058118,89.5125802,,,,False,2026-01-11T16:17:36.084Z
Shahid Tea Stall,Coffee shop,"VGX2+CWM KUET, Khulna 9203, Bangladesh",Khulna,Teligati,22.8985953,89.5023037,4.0,3.0,+880 1637-081249,False,2026-01-11T16:17:40.765Z
cofe house,Coffee shop,"WG43+PV3, Khulna, Bangladesh",Khulna,Mirerdanga,22.9067692,89.5046627,,,,False,2026-01-11T16:17:39.983Z
United Club,Night club,"VGMG+WG2 মোল্লা আবুল কাশেম সড়ক, Bangladesh",,Debnagar,22.8847744,89.5262711,3.0,6.0,,False,2026-01-11T16:17:32.198Z
"Food fun fuchka and chotpoti house, ফুড ফান ফুচকা এন্ড চটপটি হাউস",Fast food restaurant,"Fulbari Gate Bus Stand, Khulna - Jessore - Dhaka Hwy, Khulna, Bangladesh",Khulna,Mirerdanga,22.8983483,89.5099569,3.5,8.0,,False,2026-01-11T16:17:36.193Z
Battery Golli,Coffee shop,"WG7C+72Q, Barakpur, Bangladesh",Barakpur,,22.9132055,89.5201005,,,,False,2026-01-11T16:17:40.975Z
Jahid Enterprise,Building materials store,"VGX6+6GQ, Khulna, Bangladesh",Khulna,Mirerdanga,22.8980847,89.5113464,5.0,3.0,,False,2026-01-11T16:17:42.714Z
Biswas Bhaban,Apartment building,"WG57+749, Khulna, Bangladesh",,,22.9073182,89.5114794,,,,False,2026-01-11T16:17:42.404Z
Md. Imran Sheikh,Apartment building,"WG27+VP9, Khulna, Bangladesh",,,22.9021636,89.5143692,,,,False,2026-01-11T16:17:42.308Z
RIFAT HOME,Apartment building,"WG62+PG5, Hafizia Madrasha Rd, Khulna, Bangladesh",,,22.9117642,89.501369,,,,False,2026-01-11T16:17:42.855Z
বারাকপুর তরুন সংঘ-Barakpur Tarun Sangha,Sports club,"WG7F+H6W, Unnamed Road, Barakpur, Bangladesh",,,22.9139976,89.523063,5.0,2.0,,False,2026-01-11T16:17:41.431Z
Khulna khanjahan Ali Thana .jogipol .kodomtola citar pikur,Apartment building,"WG43+XF4, Khulna, Bangladesh",,,22.9073984,89.5036932,,,,False,2026-01-11T16:17:44.423Z
আবাসিক ১,Apartment building,"WG48+GCP, Bangladesh Cable Shilpa Limited (BCSL, 9206, Bangladesh",,,22.906336,89.5160822,,,,False,2026-01-11T16:17:43.452Z
Abduzl zabbar vaban,Apartment building,"WG34+33F, Khulna, Bangladesh",,,22.9027048,89.5050665,,,,False,2026-01-11T16:17:44.619Z
Biswas bari,Apartment building,"Khulna, Bangladesh",,,22.9062121,89.5225536,5.0,1.0,,False,2026-01-11T16:17:44.771Z
Bahar tea stall,Coffee shop,"WG3C+MHF, digholia sonalighat, Bangladesh",Digholia,,22.904181,89.5214144,4.5,2.0,,False,2026-01-11T16:17:45.695Z
Emon coffie shop,Coffee shop,"Khulna, Bangladesh",Khulna,Gilatala,22.915158,89.5126921,5.0,1.0,,False,2026-01-11T16:17:46.462Z
কিছুক্ষণ আবাস — আবিদুর রহমান 🏠,Apartment building,"WG32+XG3, Lota City bypass, Khulna, Bangladesh",,,22.9049572,89.5017808,,,,False,2026-01-11T16:17:44.596Z
Hotel Panchamukh,Asian restaurant,"VGX5+8WF, Khulna City Bypass, Khulna 9203, Bangladesh",Khulna,Mirerdanga,22.8983215,89.50981,4.2,11.0,+880 1943-214273,False,2026-01-11T16:17:40.388Z
Tamim store,Ice cream shop,"WG69+GWP, Khulna, Bangladesh",Khulna,,22.9110648,89.5204431,5.0,1.0,+880 1788-404736,False,2026-01-11T16:17:45.465Z
Bahar Store,Coffee shop,"WG6C+JW, Barakpur, Bangladesh",Barakpur,,22.9115168,89.5222969,5.0,1.0,+880 1764-530222,False,2026-01-11T16:17:46.516Z
Forhad Tea Stall,Coffee shop,"Khulna, Bangladesh",Khulna,Gilatala,22.913636,89.5044006,4.5,20.0,+880 1990-170729,False,2026-01-11T16:17:46.728Z
মামুন টি হাউস,Coffee shop,"VGXC+QWW, Digholia, Bangladesh",Digholia,,22.8994801,89.522329,4.5,2.0,+880 1920-236751,False,2026-01-11T16:17:48.174Z
Aminul's,Coffee shop,"1 KUET Rd, Khulna, Bangladesh",Khulna,Teligati,22.8970291,89.5050352,5.0,1.0,,False,2026-01-11T16:17:49.622Z
হোটেল চুকনগর,Restaurant,"WG73+6H9, Khulna - Jessore - Dhaka Hwy, Khulna, Bangladesh",Khulna,Gilatala,22.913026,89.5039969,4.1,53.0,,False,2026-01-11T16:17:41.674Z
মামা কফি হাউজ,Coffee shop,"VGX5+9WG, BSCIC Rd, Khulna 9204, Bangladesh",Khulna,Mirerdanga,22.8984292,89.5098257,4.5,2.0,,False,2026-01-11T16:17:49.683Z
আঃ খালেক স্টোর,Coffee shop,"WG34+J9X, Khulna, Bangladesh",Khulna,Mirerdanga,22.9041183,89.505983,5.0,2.0,,False,2026-01-11T16:17:49.288Z
খোকন ভাই এর চায়ের দোকান,Coffee shop,"VGX4+3R7, Khulna, Bangladesh",Khulna,Teligati,22.8976672,89.5070415,5.0,1.0,,False,2026-01-11T16:17:50.918Z
রাজ্জাক মামার দোকান,Coffee shop,"VGX4+5P9, KUET Rd, Khulna, Bangladesh",Khulna,Teligati,22.8979303,89.5067615,5.0,3.0,,False,2026-01-11T16:17:50.163Z
আরিফ টি স্টোল,Coffee shop,"VGX6+H5M, Ajax Jute Mill Rd, Khulna, Bangladesh",Khulna,Mirerdanga,22.8989529,89.5104296,5.0,1.0,,False,2026-01-11T16:17:50.617Z
Shimul Coffee House,Coffee shop,"VGX4+2HQ, KUET Rd, Khulna, Bangladesh",Khulna,Teligati,22.8975929,89.5064962,5.0,1.0,,False,2026-01-11T16:17:50.560Z
Olive & Western,Restaurant,"Dhaka-Jessore-Khulna Rd, Khulna, Bangladesh",Khulna,Mirerdanga,22.8998851,89.5096393,4.2,183.0,+880 1926-945906,False,2026-01-11T16:17:42.341Z
Vai Vai Tea Stall,Cafe,"Monohardi Bus Stand Jame Mosjid, Narsingdi Road, Daulatpur, Bangladesh",Daulatpur,Mirerdanga,22.8978127,89.5098972,4.7,3.0,,False,2026-01-11T16:17:52.120Z
COFFEE TIME,Coffee shop,"1 KUET Rd, Khulna 9203, Bangladesh",Khulna,Teligati,22.8975075,89.5049665,5.0,5.0,,False,2026-01-11T16:17:50.247Z
Md Rakibuzzaman's house,Apartment building,"WG46+WRW, Khulna, Bangladesh",,,22.9074051,89.5120732,5.0,1.0,,False,2026-01-11T16:17:48.919Z
Food Place Hawra Bakery,Cafe,"VGX6+22H, Khulna, Bangladesh",Khulna,Mirerdanga,22.8975689,89.5101083,5.0,2.0,+880 1912-189017,False,2026-01-11T16:17:50.815Z
BCSL Admin Building,Corporate office,"WG58+C5H, Khulna, Bangladesh",,,22.908574,89.5154717,4.5,2.0,,False,2026-01-11T16:17:53.134Z
Razzak Mamar Sangsad,Cafe,"VGX6+64R, ফুলবাড়িগেট আওয়ামীলীগ অফিসের ঠিক পাশে!, Khulna - Jessore - Dhaka Hwy, Khulna, Bangladesh",Khulna,Mirerdanga,22.8981154,89.5102636,4.3,7.0,+880 1924-222965,False,2026-01-11T16:17:49.974Z
Civil Extension Building,Education,"WG23+49W KUET, Khulna, Bangladesh",,,22.90036,89.5034594,5.0,1.0,,False,2026-01-11T16:17:53.798Z
Morshedul Amin Kochi,Apartment building,"201,KDA NIBIR R/A, FULBARIGATE, Khulna 9206, Bangladesh",,,22.9032237,89.5116798,4.0,1.0,+880 1720-300980,False,2026-01-11T16:17:52.769Z
Gazi cottage,Apartment building,"01 Gazi Bari Rd, Barakpur 9223, Bangladesh",,,22.9158626,89.5232852,5.0,2.0,,False,2026-01-11T16:17:55.181Z
হোটেল চুইঝাল,Restaurant,"WG55+542, Dhaka - Khulna Hwy, Khulna, Bangladesh",Khulna,Mirerdanga,22.907894,89.5077783,4.2,12.0,,False,2026-01-11T16:17:42.847Z
YuNuS,Apartment building,"WG26+3QV, Khulna, Bangladesh",,,22.9005723,89.5120482,5.0,1.0,,False,2026-01-11T16:17:53.055Z
সাদমান শাহর মাজার,Apartment building,"VGW3+HMR, KUET Rd, Khulna, Bangladesh",,,22.8975929,89.5064962,,,,False,2026-01-11T16:17:55.456Z
Gazi House,Apartment building,"Barakpur, Bangladesh",,,22.9146588,89.5258662,5.0,4.0,,False,2026-01-11T16:17:57.079Z
GREEN VIEW CAFETERIA,Cafeteria,"WGC3+X4W, Khulna, Bangladesh",,,22.9224999,89.502835,,,,False,2026-01-11T16:17:55.418Z
Photoshop Services,Graphic designer,"House No- L/48, Road No-163,, Old Colony, Khalishpur, Khulna, PO :, 9000, Bangladesh",Khulna,Daulatpur,22.8625393,89.5298111,4.9,247.0,+880 1629-637132,False,2026-01-11T16:17:20.817Z
Kanika Palace,Apartment building,"WG2F+GGW, Digholia, Bangladesh",,,22.9019981,89.523153,,,,False,2026-01-11T16:17:53.098Z
Bangladesh Army University of Science and Technology Khulna,Private university,"Upazilla:, Nurjahan Tower, Shiromoni, Plot 8 & 9 Union: Atra, Phultala 9204, Bangladesh",Phultala,Gilatala,22.9182327,89.5014068,4.3,18.0,+880 1769-564537,False,2026-01-11T16:17:54.531Z
Milon Vai's Cafe,Cafe,"VGX5+6X8, Khulna, Bangladesh",Khulna,Mirerdanga,22.8980297,89.5099485,4.4,25.0,,False,2026-01-11T16:17:50.682Z
Panda's Home,Apartment building,"WG34+5R5, Khulna, Bangladesh",,,22.9028932,89.5071139,,,,False,2026-01-11T16:17:56.226Z
Sheikh Belal House,Apartment building,"VGX4+XJ4, Khulna 9203, Bangladesh",Khulna,Teligati,22.9002094,89.506994,,,+966 50 032 6403,False,2026-01-11T16:17:56.923Z
SULTANA APARTMENT,Apartment building,"WG43+V7M, Jogipol Rd, Khulna, Bangladesh",,,22.907318,89.502627,5.0,1.0,,False,2026-01-11T16:17:55.230Z
Mathematics Department,University,"VG8H+R92, Khulna, Bangladesh",Khulna,Daulatpur,22.8669553,89.5284351,5.0,2.0,,False,2026-01-11T16:17:55.588Z
Berak 1,Apartment building,"WG66+7FW, Khulna, Bangladesh",,,22.9107374,89.5111991,,,,False,2026-01-11T16:17:58.117Z
Coffee Cats,Cafe,"VGX5+335, KUET Rd, Khulna, Bangladesh",Khulna,Teligati,22.8976311,89.5077226,3.8,28.0,+880 1925-424411,False,2026-01-11T16:17:45.625Z
"201,KDA NIBIR RESIDENTIAL AREA,",Apartment building,"WG36+7M7, Khulna, Bangladesh",,,22.903172,89.5116834,,,,False,2026-01-11T16:17:57.696Z
New Fox House,Apartment building,"KUET, Fulbarigate Shaeed Minar, Khulna - Jessore - Dhaka Hwy, Khulna, Bangladesh",,,22.8979015,89.5102007,5.0,1.0,,False,2026-01-11T16:17:59.757Z
heaven Place🏤,Apartment building,"WG6F+FRR, Barakpur, Bangladesh",,,22.9112399,89.5245108,,,,False,2026-01-11T16:17:58.358Z
Jhokonir (max) Flat,Apartment building,"VGX5+367, Khulna, Bangladesh",,,22.897803,89.5080839,5.0,2.0,,False,2026-01-11T16:18:00.082Z
